StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q1.3,Q1.4,Q2.1,Q2.2,Q2.3,Q2.4,Q3.1_Id,Q3.1_Name,Q3.1_Size,Q3.1_Type,Q3.2,Q3.3_Id,Q3.3_Name,Q3.3_Size,Q3.3_Type,Q3.4,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Select below if you use an iPhone with at least iOS version 12 as your primary smartphone. Otherwise leave the button unselected.,Do you currently use the Screen Time application on your iPhone?,Do you currently use your iPhone primarily for work?,Is your iPhone provided to you by your company?,What gender are you?,What is your age?,"What is your current employment status?

Note that for purposes of this study full time is considered to be working at least 40 hours per week. Less than 40 hours of work per week is considered part time.","What is your current employment type?

Note that for the purposes of this study blue collar work can be generally considered as working primarily with your hands or through physical activity, while white collar work can be considered working primarily without physical activity or in clerical/administrative roles.","Please upload a screenshot of the first page of your screentime app:
1. ﻿Turn on ScreenTime in your iPhone if not already turned on:

    Go to Settings > Screen Time > Turn On Screen Time > Continue

   

﻿

2. Take a screenshot of Screen Time main screen (press home button and right-side power button at the same time to take a screenshot).





3. Upload here! - Id","Please upload a screenshot of the first page of your screentime app:
1. ﻿Turn on ScreenTime in your iPhone if not already turned on:

    Go to Settings > Screen Time > Turn On Screen Time > Continue

   

﻿

2. Take a screenshot of Screen Time main screen (press home button and right-side power button at the same time to take a screenshot).





3. Upload here! - Name","Please upload a screenshot of the first page of your screentime app:
1. ﻿Turn on ScreenTime in your iPhone if not already turned on:

    Go to Settings > Screen Time > Turn On Screen Time > Continue

   

﻿

2. Take a screenshot of Screen Time main screen (press home button and right-side power button at the same time to take a screenshot).





3. Upload here! - Size","Please upload a screenshot of the first page of your screentime app:
1. ﻿Turn on ScreenTime in your iPhone if not already turned on:

    Go to Settings > Screen Time > Turn On Screen Time > Continue

   

﻿

2. Take a screenshot of Screen Time main screen (press home button and right-side power button at the same time to take a screenshot).





3. Upload here! - Type",How many minutes does your ScreenTime state you have spent on your phone in the past 24 hours?,"Upload a screenshot of your weekly (last 7 days)Screen Time information here. To view this, just click on the ""Last 7 days"" bar on the top of the screen. - Id","Upload a screenshot of your weekly (last 7 days)Screen Time information here. To view this, just click on the ""Last 7 days"" bar on the top of the screen. - Name","Upload a screenshot of your weekly (last 7 days)Screen Time information here. To view this, just click on the ""Last 7 days"" bar on the top of the screen. - Size","Upload a screenshot of your weekly (last 7 days)Screen Time information here. To view this, just click on the ""Last 7 days"" bar on the top of the screen. - Type",How many minutes does your ScreenTime state you have spent on your phone in the past 7 days?,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_FILE_ID""}","{""ImportId"":""QID9_FILE_NAME""}","{""ImportId"":""QID9_FILE_SIZE""}","{""ImportId"":""QID9_FILE_TYPE""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID12_FILE_ID""}","{""ImportId"":""QID12_FILE_NAME""}","{""ImportId"":""QID12_FILE_SIZE""}","{""ImportId"":""QID12_FILE_TYPE""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""mTurkCode""}"
2019-07-19 13:05:54,2019-07-19 13:12:13,IP Address,24.199.63.22,100,379,True,2019-07-19 13:12:16,R_2BlCsmxTW3zv0Wd,,,,,34.003204345703125,-117.961700439453125,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,No,Female,25,Full time,Blue Collar,F_2bTvriAUrsErIYr,Image-1.jpg,286723,image/jpeg,2,F_3kNB4FIjve9eMEX,Image-1.jpg,273267,image/jpeg,4,360281
2019-07-19 13:08:11,2019-07-19 13:13:03,IP Address,216.98.80.163,100,292,True,2019-07-19 13:13:05,R_shYNtJBU71pSkmZ,,,,,37.38250732421875,-79.21810150146484375,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,No,No,Male,63,Full time,Blue Collar,F_Y9MET6Adh3oruIV,IMG_1919.PNG,60473,image/png,7,F_3kjiYKMSu2cDYPg,IMG_1920.PNG,53823,image/png,0,563236
2019-07-19 13:09:45,2019-07-19 13:15:04,IP Address,24.209.71.250,100,318,True,2019-07-19 13:15:06,R_1hyv28wEjoBhGCx,,,,,39.7389984130859375,-84.085601806640625,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,"Yes, but not including cellular network fees",Male,26,Part time,White Collar,F_3m1SNbLCPihOdtq,th.jpg,9782,image/jpeg,340,F_1NFxIg66fLMC27b,th.jpg,9782,image/jpeg,600,696784
2019-07-19 13:13:18,2019-07-19 13:15:45,IP Address,73.88.71.9,100,147,True,2019-07-19 13:15:47,R_31n3mTvASH3hSQA,,,,,32.8928985595703125,-80.04579925537109375,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,No,No,Female,30,Full time,White Collar,F_1fa7Oy43ooOvmCw,63DEC23D-BF93-479D-AF18-0A2C3E9BD20F.png,393922,image/png,215,F_SJBSUfFDFifYfzr,5D0F6E79-71FF-40D9-8917-BE3BFA92DF7F.png,432699,image/png,2536,765257
2019-07-19 13:13:48,2019-07-19 13:18:50,IP Address,99.150.227.99,100,301,True,2019-07-19 13:18:53,R_2f3dNPfx6Tq3UEZ,,,,,35.7613983154296875,-78.60150146484375,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,No,No,No,Male,41,Full time,Blue Collar,F_UXwuSROQWOtjzqh,48E1071F-D079-4191-BFF6-D676CB5FF1A4.png,174240,image/png,384,F_3ESCjaqJWz4MiMZ,4246D9C2-F82A-4E63-AEE9-DA053AD19064.png,167231,image/png,2718,168995
2019-07-19 13:11:40,2019-07-19 13:19:59,IP Address,162.234.69.154,100,499,True,2019-07-19 13:20:02,R_3hzGg0yKwQSArIR,,,,,30.33880615234375,-97.5323028564453125,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,No,No,Female,23,Unemployed,Unemployed,F_eWKJtpw34f4vViV,071919Daily.PNG,90408,image/png,47,F_PGnJRZptsMirQ3f,071919Weekly.PNG,88953,image/png,456,309771
2019-07-19 13:16:55,2019-07-19 13:20:36,IP Address,99.71.157.210,100,220,True,2019-07-19 13:20:38,R_20THrhYKjVq5mzE,,,,,29.7373046875,-95.3972015380859375,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,No,No,Male,31,Full time,White Collar,F_12EBhlQ365GuRZ4,2019-07-19 15.17.54.png,382695,image/png,84,F_zTCX6tfCg3pOA0N,2019-07-19 15.18.49.png,374580,image/png,718,663712
2019-07-19 13:10:43,2019-07-19 13:20:52,IP Address,71.183.84.183,100,608,True,2019-07-19 13:20:54,R_1CpvokfIvaBiD1x,,,,,41.0117950439453125,-73.8665008544921875,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,No,Female,43,Full time,White Collar,F_1LYxqlNveuiZEcX,2019-07-19_16-15-14.png,125560,image/png,32,F_3k0XCqluAcP6iL9,g2019-07-19_16-19-04.png,122776,image/png,448,55826
2019-07-19 13:13:30,2019-07-19 13:21:14,IP Address,73.93.106.216,100,464,True,2019-07-19 13:21:16,R_bNvYXOTCGj7TZPX,,,,,37.768798828125,-122.26200103759765625,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,No,"Yes, including cellular network fees",Female,43,Full time,White Collar,F_STOaSQJYQjWdrtn,today.PNG,325033,image/png,505,F_1hZqKyEEWLWlbpL,7days.PNG,366344,image/png,5354,258662
2019-07-19 13:14:29,2019-07-19 13:21:57,IP Address,223.181.218.80,100,447,True,2019-07-19 13:21:59,R_3hFoflQHpEzm3wT,,,,,10.990997314453125,76.966705322265625,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,No,Male,33,Part time,Blue Collar,F_22m4WI3h2MLI0B7,79E6D5EB-F025-4BC8-90D5-03C6A5879792.png,77151,image/png,12,F_W1lPWjvFAdpIWCR,447FD241-0280-4F8D-BF32-E0FE0B460BEB.png,71527,image/png,435,747349
2019-07-19 13:19:14,2019-07-19 13:22:07,IP Address,172.254.240.170,100,173,True,2019-07-19 13:22:09,R_2bTqnh2xYellulZ,,,,,40.700897216796875,-73.94609832763671875,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,"Yes, including cellular network fees",Female,23,Full time,White Collar,F_2XgNPqjrhrdKAMy,screentime.jpg,35759,image/jpeg,310,F_2fdseYkcUwGAYyr,screentime2.jpg,33121,image/jpeg,2177,818298
2019-07-19 13:21:03,2019-07-19 13:26:56,IP Address,198.53.41.132,100,353,True,2019-07-19 13:26:58,R_3iVcTHPWox3voYq,,,,,55.1808013916015625,-118.91030120849609375,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,No,Yes,"Yes, including cellular network fees",Male,24,Full time,White Collar,F_SQbCQLcQPW6NbfX,Image 1.jpg,127021,image/jpeg,0,F_BSos4AeLad7qrVD,Image 2.jpg,100730,image/jpeg,0,677297
2019-07-19 13:16:36,2019-07-19 13:27:06,IP Address,168.205.52.54,100,629,True,2019-07-19 13:27:08,R_3fJiYdPyYcgxmvP,,,,,-23.6071014404296875,-46.30999755859375,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,"No, but I have in the past",Yes,No,Male,20,Full time,White Collar,F_SUl9IKFIZcIYONr,1.png,376345,image/png,459,F_3HM6IFhs97QskWe,2.png,381769,image/png,432,958730
2019-07-19 13:26:42,2019-07-19 13:29:30,IP Address,67.61.17.99,100,168,True,2019-07-19 13:29:33,R_ANZRPWPDB618vJL,,,,,35.511505126953125,-98.97949981689453125,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,No,Female,24,Full time,White Collar,F_1ieQRT1AfGttzAj,CD6A7CFA-1570-4D27-ADE5-7E6E4B880984.png,450099,image/png,0,F_3rVB0QaDoeLkmE2,FDED6921-0DE8-4FEA-9882-182EB94008AB.png,422217,image/png,1,485745
2019-07-19 13:29:49,2019-07-19 13:34:14,IP Address,50.45.9.125,100,264,True,2019-07-19 13:34:17,R_31gvJa8NLpQ8TMY,,,,,37.7241058349609375,-88.9300994873046875,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,No,No,Female,26,Part time,White Collar,F_3syMSRphR268yOw,IMG_2539.PNG,441322,image/png,246,F_qw28dk608JhsLNT,IMG_2540.PNG,480134,image/png,3096,333751
2019-07-19 13:31:06,2019-07-19 13:34:46,IP Address,73.213.11.6,100,219,True,2019-07-19 13:34:47,R_3dKTvsV4sTCokWL,,,,,39.071502685546875,-76.69629669189453125,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,No,No,No,Male,27,Full time,Blue Collar,F_POOuS8rZyIaZDmV,Image-1_07.jpg,82147,image/jpeg,8,F_2TuZLmqo7F6Twx1,Image-1_07.jpg,82147,image/jpeg,21,559509
2019-07-19 13:34:14,2019-07-19 13:36:39,IP Address,147.135.11.113,100,144,True,2019-07-19 13:36:41,R_3rYDNjS57iENfJx,,,,,38.960906982421875,-77.34290313720703125,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,"Yes, including cellular network fees",Male,32,Full time,Blue Collar,F_22ldYRnBFs7Jr3M,1.jpg,7501,image/jpeg,2,F_yL0nVgYVICG1Td7,2.png,56052,image/png,3,141461
2019-07-19 13:36:10,2019-07-19 13:38:49,IP Address,15.203.226.36,100,158,True,2019-07-19 13:38:51,R_3fNagNxOcVJJFYy,,,,,40.5377044677734375,-105.05460357666015625,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,No,No,Male,28,Full time,White Collar,F_1Nr9QSUUnX29t4r,947BB203-DD85-4D0E-A74C-392408E4338B.png,368525,image/png,131,F_3dJO2ojJK361A6u,B33D4313-EA74-43CE-A5DF-0A46EAB13088.png,360461,image/png,2015,613889
2019-07-19 13:32:18,2019-07-19 13:42:03,IP Address,146.95.218.127,100,584,True,2019-07-19 13:42:04,R_3s7yEYSwE9A27p9,,,,,40.76519775390625,-73.95880126953125,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,"Yes, including cellular network fees",Female,24,Full time,White Collar,F_3ELU62icpJDTT5Q,67403743_516971839044672_7526656021297627136_n.jpg,57723,image/jpeg,221,F_1JDvN8IzwtOWe5x,67257536_834172163649564_3828324193120813056_n.jpg,56007,image/jpeg,431,470421
2019-07-19 13:38:40,2019-07-19 13:45:59,IP Address,122.164.216.201,100,439,True,2019-07-19 13:46:02,R_PHbHprL9aJDl09b,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,No,Male,26,Full time,White Collar,F_3kCgn019Y6pcPJS,screentime5.png,95423,image/png,2,F_3hyGFp4GtIUVwLP,screen.png,440015,image/png,24,513918
2019-07-19 13:33:06,2019-07-19 13:46:51,IP Address,70.119.205.205,100,825,True,2019-07-19 13:46:54,R_UDu40st2OMw0y5z,,,,,32.8545074462890625,-96.59909820556640625,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,No,Female,23,Part time,Unknown or unsure,F_3PnqERobZZwN4F8,Screen Time Main Screen MTurk.jpg,513618,image/jpeg,53,F_ut4alJrMCNTgDeh,Last 7 days MTurk.jpg,343506,image/jpeg,17,99781
2019-07-19 13:05:50,2019-07-19 13:11:11,IP Address,103.99.150.220,33,321,False,2019-07-24 20:16:53,R_2chp5YghmDmgENw,,,,,,,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,"Yes, including cellular network fees",,,,,,,,,,,,,,,554654
2019-07-19 13:06:57,2019-07-19 13:08:12,IP Address,103.59.203.47,67,75,False,2019-07-24 20:16:55,R_3gNNN352RRH1Ka0,,,,,,,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,Yes,Yes,"Yes, but not including cellular network fees",Male,27,Full time,White Collar,,,,,,,,,,,413435
2019-07-19 13:08:54,2019-07-19 13:10:24,IP Address,103.95.16.222,67,89,False,2019-07-24 20:16:57,R_33rLkaCexlf5hbe,,,,,,,anonymous,EN,I use an iPhone with at least iOS 12 as my primary smartphone.,No,Yes,No,Male,25,Full time,Blue Collar,,,,,,,,,,,519221
